Рзаб;Pлин;Руст.1;Рзаб.1;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды.1;Pсб.1;G_total;КГФ
390.0;107.78597560975592;235.65819333398179;390.1;108.50161290322579;62.0;0.0;105.0;42.71885670731711;117.4709649390244;1.106617667682927;520.7244106571494;3817.5;185.2;1.1;102.34394275845054;0.0;187.0
384.4;110.16593220338972;227.86481197232757;381.3;110.19000000000001;64.0;0.0;104.9;47.98646892655367;139.52666666666659;0.6516762146892656;638.4786360038983;4835.0;222.6;0.7;102.44263508512213;0.0;180.0
362.8;95.60121658986225;263.0;362.9;95.33503225806453;49.0;26.1;105.54;26.43987327188939;61.33461059907835;1.3715891705069119;255.2458584923963;1924.9;101.5;1.3;91.88255613126078;0.0;198.0
359.3;96.59738321167896;256.0;359.3;97.32183870967738;55.0;33.4;105.57;33.68865328467154;77.98768613138682;3.496397080291972;366.8591266430657;2856.2;123.1;3.5;91.586479151246;0.0;174.0
354.0;98.95240206185592;249.0;354.0;40.73983870967736;60.0;39.2;105.56;39.666828178694175;98.20043814433;3.8912477663230236;468.65578018161517;3766.5;154.0;3.9;93.56032568467802;0.0;171.0
348.1;100.10129617834409;239.0;348.1;45.06035483870962;64.0;43.7;105.51;44.07239171974519;113.09065445859883;5.187693471337577;557.6548546232484;4529.6;176.6;5.3;93.95509499136442;0.0;165.0
340.0;102.22606557377014;221.0;340.0;47.84654838709679;66.0;47.8;105.44;48.17109016393446;134.34448770491812;6.576014344262297;676.5329146188525;5557.8;206.0;6.6;94.74463360473723;0.0;162.0
336.3;102.40378048912564;228.0;333.1;102.293098;65.1;44.8;105.04;44.739639307486506;134.48172574777206;6.656155877896616;528.6676493768875;4152.0;195.9;6.7;94.54724895139402;0.0;140.0
340.0;94.02052714708701;248.0;339.8;94.19509677419349;59.0;32.4;104.853;33.5142857847976;66.58909279368211;1.391210256663376;350.5474474332577;2868.6;105.2;1.4;87.63878608438193;0.0;154.0
334.0;95.50515307582188;239.0;331.7;95.88422580645144;61.0;38.6;104.834;39.28579113018597;77.90659656652359;2.0189837386742946;445.71547971072965;3773.0;122.8;2.0;86.94793979768073;0.0;141.0
326.0;94.89208995037264;223.0;324.0;95.52348387096755;64.0;42.7;104.74;42.913789702233274;91.24142059553358;2.7990755583126563;528.9312668950372;4590.3;142.1;2.7;87.63878608438193;0.0;139.0
318.0;97.27056371490129;205.0;312.5;95.52348387096755;66.0;46.9;104.643;46.71543250539952;102.94293682505406;3.226367926565875;625.4867829411988;5452.4;161.1;3.3;87.73747841105354;0.0;132.0
316.1;101.81950427350398;219.87525;316.2;101.92225806451619;24.2;0.0;106.2;23.662576068376058;39.74131794871794;0.6;136.81524522153848;884.0;68.9;0.5;100.46878855169011;0.0;241.0
281.5;103.86519924098695;201.63675;275.9;103.97161290322573;35.5;0.0;106.4;36.558231499051224;67.58290702087284;1.3980222011385202;259.19829048823533;1867.0;120.4;1.4;102.24525043177893;0.0;216.0
257.9;103.06488372093023;182.385;258.0;103.45129032258062;42.3;0.0;106.47;42.63247780126855;71.29403594080344;2.183448414376323;311.23619124482025;2445.0;123.9;2.3;101.25832716506291;0.0;191.0
236.5;104.28088105726873;163.13324999999998;237.8;104.34129032258065;47.8;0.0;106.4;48.01590528634359;74.58585242290751;2.500872907488986;346.6401123819383;2869.0;126.4;2.6;102.54132741179374;0.0;177.0
221.2;104.42884344146684;149.961;221.3;104.62210526315792;50.6;0.0;106.7;50.5755373765868;73.12181382228492;2.5502173483779966;362.5228747107194;3112.0;121.4;2.6;102.64001973846534;0.0;164.0
305.56;100.8;215.0;305.6;99.7;40.0;26.0;106.5;25.9;45.4;0.6;172.04072;1168.0;79.0;0.5;98.49494201825807;0.0;219.0
298.69;100.6;209.0;298.7;100.6;48.0;27.8;106.6;28.5;52.8;1.0;201.32084;1401.0;93.1;1.0;98.49494201825807;0.0;218.0
